strategy,guard,agent_age_s,reval_age_s,budget_s,heartbeat_s,secure_claim,blocked,violation,outcome
sanity_no_guard,none,1.0,1.0,2.0,0.25,True,0,True,slip
A_under_budget_pacing,full,0.5,0.5,2.0,0.25,True,0,True,slip
A_under_budget_pacing,full,1.0,1.0,2.0,0.25,True,0,True,slip
A_under_budget_pacing,full,1.5,1.5,2.0,0.25,True,0,True,slip
A_under_budget_pacing,full,1.9,1.9,2.0,0.25,True,0,True,slip
A_under_budget_pacing,full,2.1,2.1,2.0,0.25,False,1,False,block
A_under_budget_pacing,full,2.5,2.5,2.0,0.25,False,1,False,block
A_under_budget_pacing,full,3.0,3.0,2.0,0.25,False,1,False,block
B_target_reread,full,1.0,1.0,2.0,0.25,True,0,True,slip
B_target_reread,full,1.0,1.9,2.0,0.25,True,0,True,slip
B_target_reread,full,1.0,2.1,2.0,0.25,False,1,False,block
B_target_reread,full,1.0,6.0,2.0,0.25,False,1,False,block
challenge_response,challenge,0.1,0.1,2.0,0.25,True,0,True,slip
challenge_response,challenge,0.2,0.2,2.0,0.25,True,0,True,slip
challenge_response,challenge,0.5,0.5,2.0,0.25,False,1,False,block
challenge_response,challenge,1.0,1.0,2.0,0.25,False,1,False,block
challenge_response,challenge,1.5,1.5,2.0,0.25,False,1,False,block
challenge_response,challenge,1.9,1.9,2.0,0.25,False,1,False,block
challenge_response,challenge,3.0,3.0,2.0,0.25,False,1,False,block
benign_challenge_no_attack,challenge,,,2.0,0.25,True,0,False,block
