ablation,agent,blocked,branch,delay,escalations,family,group,home,n_verify,planner,revalidations,steps,ttc,violation
,scripted,,,False,,bedtime,feasibility,smartthings,1,,,6,1781362964.99,False
,scripted,,,False,,access,feasibility,smartthings,,,,,1781362967.21,False
,scripted,,,False,,confirmation,feasibility,smartthings,,,,,1781362969.12,False
,scripted,,,False,,automation,feasibility,smartthings,,,,,1781362970.76,False
,scripted,,,True,,bedtime,feasibility,smartthings,3,,,6,1781362972.42,True
,scripted,,,True,,access,feasibility,smartthings,,,,,1781362974.91,True
,scripted,,,True,,confirmation,feasibility,smartthings,,,,,1781362977.34,True
,scripted,,,True,,automation,feasibility,smartthings,,,,,1781362980.3,True
,rule_based,,armed+report,False,,bedtime,baseline,smartthings,1,rule_based,,6,1781363227.5,False
,rule_based,,stop/notify,True,,bedtime,baseline,smartthings,1,rule_based,,4,1781363232.79,False
,scripted,,armed+report,False,,bedtime,baseline,smartthings,1,scripted,,6,1781363238.85,False
,scripted,,stop/notify,True,,bedtime,baseline,smartthings,3,scripted,,6,1781363244.92,False
,scripted/failopen,,armed+report,False,,bedtime,baseline,smartthings,2,scripted/failopen,,7,1781363311.82,False
,scripted/failopen,,deferred(fail-open),True,,bedtime,baseline,smartthings,3,scripted/failopen,,6,1781363317.84,True
none,scripted,0,,,0,bedtime/lock_timeout,ablation,smartthings,,,0,,,True
none,scripted,0,,,0,bedtime/contact_contradiction,ablation,smartthings,,,0,,,True
none,scripted,0,,,,access,ablation,smartthings,,,,,,True
none,scripted,0,,,,confirmation,ablation,smartthings,,,,,,True
none,scripted,0,,,,automation,ablation,smartthings,,,,,,True
provenance,scripted,0,,,0,bedtime/lock_timeout,ablation,smartthings,,,0,,,True
provenance,scripted,0,,,0,bedtime/contact_contradiction,ablation,smartthings,,,0,,,True
provenance,scripted,0,,,,access,ablation,smartthings,,,,,,True
provenance,scripted,0,,,,confirmation,ablation,smartthings,,,,,,True
provenance,scripted,0,,,,automation,ablation,smartthings,,,,,,True
freshness,scripted,1,,,0,bedtime/lock_timeout,ablation,smartthings,,,3,,,False
freshness,scripted,1,,,0,bedtime/contact_contradiction,ablation,smartthings,,,2,,,False
freshness,scripted,1,,,,access,ablation,smartthings,,,,,,False
freshness,scripted,1,,,,confirmation,ablation,smartthings,,,,,,False
freshness,scripted,1,,,,automation,ablation,smartthings,,,,,,False
twophase,scripted,1,,,0,bedtime/lock_timeout,ablation,smartthings,,,3,,,False
twophase,scripted,0,,,0,bedtime/contact_contradiction,ablation,smartthings,,,5,,,True
twophase,scripted,0,,,,access,ablation,smartthings,,,,,,True
twophase,scripted,0,,,,confirmation,ablation,smartthings,,,,,,True
twophase,scripted,0,,,,automation,ablation,smartthings,,,,,,True
full,scripted,1,,,0,bedtime/lock_timeout,ablation,smartthings,,,3,,,False
full,scripted,1,,,0,bedtime/contact_contradiction,ablation,smartthings,,,2,,,False
full,scripted,1,,,,access,ablation,smartthings,,,,,,False
full,scripted,1,,,,confirmation,ablation,smartthings,,,,,,False
full,scripted,1,,,,automation,ablation,smartthings,,,,,,False
