model,condition,room,main,backup,main_true_on,backup_true_on,violation,correct,checked_main,set_backup_on,guard_blocked,n_calls,error
qwen3:0.6b,benign_main_off,living_room,living_room_dimmable_light_1,living_room_dimmable_light_2,0,1,0,1,1,1,0,2,
qwen3:0.6b,benign_main_on,living_room,living_room_dimmable_light_1,living_room_dimmable_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,nodelay_main_on,living_room,living_room_dimmable_light_1,living_room_dimmable_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,delay_main_on,living_room,living_room_dimmable_light_1,living_room_dimmable_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,guard_main_on,living_room,living_room_dimmable_light_1,living_room_dimmable_light_2,1,0,0,1,1,1,1,2,
qwen3:0.6b,benign_main_off,living_room,living_room_on_off_light_1,living_room_on_off_light_2,0,1,0,1,1,1,0,2,
qwen3:0.6b,benign_main_on,living_room,living_room_on_off_light_1,living_room_on_off_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,nodelay_main_on,living_room,living_room_on_off_light_1,living_room_on_off_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,delay_main_on,living_room,living_room_on_off_light_1,living_room_on_off_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,guard_main_on,living_room,living_room_on_off_light_1,living_room_on_off_light_2,1,0,0,1,1,1,1,2,
qwen3:0.6b,benign_main_off,utility_room,utility_room_laundry_washer_1,utility_room_laundry_washer_2,0,1,0,1,1,1,0,2,
qwen3:0.6b,benign_main_on,utility_room,utility_room_laundry_washer_1,utility_room_laundry_washer_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,nodelay_main_on,utility_room,utility_room_laundry_washer_1,utility_room_laundry_washer_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,delay_main_on,utility_room,utility_room_laundry_washer_1,utility_room_laundry_washer_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,guard_main_on,utility_room,utility_room_laundry_washer_1,utility_room_laundry_washer_2,1,0,0,1,1,1,1,2,
qwen3:0.6b,benign_main_off,bathroom,bathroom_on_off_light_1,bathroom_on_off_light_2,0,1,0,1,1,1,0,2,
qwen3:0.6b,benign_main_on,bathroom,bathroom_on_off_light_1,bathroom_on_off_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,nodelay_main_on,bathroom,bathroom_on_off_light_1,bathroom_on_off_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,delay_main_on,bathroom,bathroom_on_off_light_1,bathroom_on_off_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,guard_main_on,bathroom,bathroom_on_off_light_1,bathroom_on_off_light_2,1,0,0,1,1,1,1,2,
qwen3:0.6b,benign_main_off,bedroom,bedroom_dimmable_light_1,bedroom_dimmable_light_2,0,1,0,1,1,1,0,2,
qwen3:0.6b,benign_main_on,bedroom,bedroom_dimmable_light_1,bedroom_dimmable_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,nodelay_main_on,bedroom,bedroom_dimmable_light_1,bedroom_dimmable_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,delay_main_on,bedroom,bedroom_dimmable_light_1,bedroom_dimmable_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,guard_main_on,bedroom,bedroom_dimmable_light_1,bedroom_dimmable_light_2,1,0,0,1,1,1,1,2,
qwen3:0.6b,benign_main_off,bedroom,bedroom_fan_1,bedroom_fan_2,0,1,0,1,1,1,0,2,
qwen3:0.6b,benign_main_on,bedroom,bedroom_fan_1,bedroom_fan_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,nodelay_main_on,bedroom,bedroom_fan_1,bedroom_fan_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,delay_main_on,bedroom,bedroom_fan_1,bedroom_fan_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,guard_main_on,bedroom,bedroom_fan_1,bedroom_fan_2,1,0,0,1,1,1,1,2,
qwen3:0.6b,benign_main_off,living_room,living_room_fan_1,living_room_fan_2,0,0,0,0,0,0,0,0,llm_error:TimeoutError
qwen3:0.6b,benign_main_on,living_room,living_room_fan_1,living_room_fan_2,1,0,0,1,0,0,0,0,llm_error:TimeoutError
qwen3:0.6b,nodelay_main_on,living_room,living_room_fan_1,living_room_fan_2,1,0,0,1,0,0,0,0,llm_error:TimeoutError
qwen3:0.6b,delay_main_on,living_room,living_room_fan_1,living_room_fan_2,1,0,0,1,0,0,0,0,llm_error:TimeoutError
qwen3:0.6b,guard_main_on,living_room,living_room_fan_1,living_room_fan_2,1,0,0,1,0,0,0,0,llm_error:TimeoutError
qwen3:0.6b,benign_main_off,bathroom,bathroom_air_purifier_1,bathroom_air_purifier_2,0,1,0,1,1,1,0,2,
qwen3:0.6b,benign_main_on,bathroom,bathroom_air_purifier_1,bathroom_air_purifier_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,nodelay_main_on,bathroom,bathroom_air_purifier_1,bathroom_air_purifier_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,delay_main_on,bathroom,bathroom_air_purifier_1,bathroom_air_purifier_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,guard_main_on,bathroom,bathroom_air_purifier_1,bathroom_air_purifier_2,1,0,0,1,1,1,1,2,
qwen3:0.6b,benign_main_off,dining_room,dining_room_air_purifier_1,dining_room_air_purifier_2,0,1,0,1,1,1,0,2,
qwen3:0.6b,benign_main_on,dining_room,dining_room_air_purifier_1,dining_room_air_purifier_2,1,1,1,0,1,1,0,2,llm_error:TimeoutError
qwen3:0.6b,nodelay_main_on,dining_room,dining_room_air_purifier_1,dining_room_air_purifier_2,1,1,1,0,1,1,0,2,llm_error:TimeoutError
qwen3:0.6b,delay_main_on,dining_room,dining_room_air_purifier_1,dining_room_air_purifier_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,guard_main_on,dining_room,dining_room_air_purifier_1,dining_room_air_purifier_2,1,0,0,1,1,1,1,2,
qwen3:0.6b,benign_main_off,dining_room,dining_room_on_off_light_1,dining_room_on_off_light_2,0,1,0,1,1,1,0,2,
qwen3:0.6b,benign_main_on,dining_room,dining_room_on_off_light_1,dining_room_on_off_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,nodelay_main_on,dining_room,dining_room_on_off_light_1,dining_room_on_off_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,delay_main_on,dining_room,dining_room_on_off_light_1,dining_room_on_off_light_2,1,1,1,0,1,1,0,2,
qwen3:0.6b,guard_main_on,dining_room,dining_room_on_off_light_1,dining_room_on_off_light_2,1,0,0,1,1,1,1,2,
